task,contrast,encounter,mean_isc,n_pairs,aligned
stopSignal,stop_failure-stop_success,3,0.2627396755775845,10,aligned
stopSignal,stop_failure-stop_success,4,0.3280565594648133,10,aligned
stopSignal,stop_failure-stop_success,5,0.30522269914547295,10,aligned
stopSignal,stop_success-go,1,0.6474298724831113,10,aligned
stopSignal,stop_success-go,2,0.6027024272850333,10,aligned
stopSignal,stop_success-go,3,0.4613678700356628,10,aligned
stopSignal,stop_success-go,4,0.520809682870167,10,aligned
stopSignal,stop_success-go,5,0.4217250244007297,10,aligned
stopSignal,stop_success,1,0.6892379925675611,10,aligned
stopSignal,stop_success,2,0.7093080765732636,10,aligned
stopSignal,stop_success,3,0.5582487791367536,10,aligned
stopSignal,stop_success,4,0.5344389667100441,10,aligned
stopSignal,stop_success,5,0.2940333489458463,10,aligned
stopSignal,stop_success-stop_failure,1,0.34349011275618246,10,aligned
stopSignal,stop_success-stop_failure,2,0.30353336515648277,10,aligned
stopSignal,stop_success-stop_failure,3,0.2627396755775845,10,aligned
stopSignal,stop_success-stop_failure,4,0.3280565594648133,10,aligned
stopSignal,stop_success-stop_failure,5,0.30522269914547295,10,aligned
stopSignal,task-baseline,1,0.7084576593291938,10,aligned
stopSignal,task-baseline,2,0.7736847306961734,10,aligned
stopSignal,task-baseline,3,0.6352469327782745,10,aligned
stopSignal,task-baseline,4,0.6208054830431765,10,aligned
stopSignal,task-baseline,5,0.4403197031285557,10,aligned
cuedTS,cue_switch_cost,1,0.07251963133666244,10,aligned
cuedTS,cue_switch_cost,2,0.21087618253209853,10,aligned
cuedTS,cue_switch_cost,3,0.16215387368038142,10,aligned
cuedTS,cue_switch_cost,4,0.16010789508327317,10,aligned
cuedTS,cue_switch_cost,5,-0.006201761102324506,3,aligned
cuedTS,task_switch_cost,1,0.06745900514660287,10,aligned
cuedTS,task_switch_cost,2,0.16639261723546633,10,aligned
cuedTS,task_switch_cost,3,0.10866111752028543,10,aligned
cuedTS,task_switch_cost,4,0.1655639635520091,10,aligned
cuedTS,task_switch_cost,5,0.22867738644995592,3,aligned
cuedTS,task_switch_cue_switch-task_stay_cue_stay,1,0.17269105281814937,10,aligned
cuedTS,task_switch_cue_switch-task_stay_cue_stay,2,0.199179445754044,10,aligned
cuedTS,task_switch_cue_switch-task_stay_cue_stay,3,0.21009674485709348,10,aligned
cuedTS,task_switch_cue_switch-task_stay_cue_stay,4,0.14611588652660099,10,aligned
cuedTS,task_switch_cue_switch-task_stay_cue_stay,5,0.07509747430638138,3,aligned
cuedTS,task-baseline,1,0.39801701641897463,10,aligned
cuedTS,task-baseline,2,0.5039856724471672,10,aligned
cuedTS,task-baseline,3,0.43339165797363854,10,aligned
cuedTS,task-baseline,4,0.6387368767692903,10,aligned
cuedTS,task-baseline,5,0.31776916012715106,3,aligned
cuedTS,response_time,1,0.35985688316423625,10,aligned
cuedTS,response_time,2,0.5152165294033987,10,aligned
cuedTS,response_time,3,0.4650942257795016,10,aligned
cuedTS,response_time,4,0.41899497113120365,10,aligned
cuedTS,response_time,5,0.48814345404574855,3,aligned
spatialTS,cue_switch_cost,1,0.1256033182909965,10,aligned
spatialTS,cue_switch_cost,2,0.17890155374739483,10,aligned
spatialTS,cue_switch_cost,3,0.17286167095291552,10,aligned
spatialTS,cue_switch_cost,4,0.10482079665391002,10,aligned
spatialTS,cue_switch_cost,5,0.15962869284549436,10,aligned
spatialTS,task_switch_cost,1,0.21847465404950922,10,aligned
spatialTS,task_switch_cost,2,0.2098942187650973,10,aligned
spatialTS,task_switch_cost,3,0.22738555372279548,10,aligned
spatialTS,task_switch_cost,4,0.21420118153912862,10,aligned
spatialTS,task_switch_cost,5,0.17486363438960378,10,aligned
spatialTS,task_switch_cue_switch-task_stay_cue_stay,1,0.30445199338072965,10,aligned
spatialTS,task_switch_cue_switch-task_stay_cue_stay,2,0.28604840398259185,10,aligned
spatialTS,task_switch_cue_switch-task_stay_cue_stay,3,0.1920172719029627,10,aligned
spatialTS,task_switch_cue_switch-task_stay_cue_stay,4,0.3371187796681764,10,aligned
spatialTS,task_switch_cue_switch-task_stay_cue_stay,5,0.21947710973877615,10,aligned
spatialTS,task-baseline,1,0.5856179475433764,10,aligned
spatialTS,task-baseline,2,0.4172644057291638,10,aligned
spatialTS,task-baseline,3,0.4334534615787973,10,aligned
spatialTS,task-baseline,4,0.3194998928074037,10,aligned
spatialTS,task-baseline,5,0.40147973929326675,10,aligned
spatialTS,response_time,1,0.47799965118403936,10,aligned
spatialTS,response_time,2,0.21648394902811713,10,aligned
spatialTS,response_time,3,0.2870338708247683,10,aligned
spatialTS,response_time,4,0.22872514634750316,10,aligned
spatialTS,response_time,5,0.38934263645610884,10,aligned
